11.40	11.16	181.66				
9.04	11.16	183.78				
4.49	11.16	176.27				
8.94	11.16	179.60				
4.44	11.16	178.16				
4.43	11.16	169.84				
4.41	11.16	167.39				
8.78	11.16	164.24				
13.04	11.16	165.17				
2.16	11.16	163.00				
6.46	11.16	144.17				
6.42	11.16	142.79				
8.51	11.16	142.42				
4.23	11.16	139.30				
4.22	11.16	131.05				
2.10	12.03	131.06				
4.20	12.10	132.76				
4.18	12.17	127.94				
8.32	12.17	126.92				
4.14	12.17	125.71				
8.23	12.17	117.73				
4.10	12.17	109.93				
6.12	13.90	114.15				
4.06	13.90	116.15				
2.03	13.90	130.46				
4.04	13.90	133.93				
6.04	13.90	132.26				
11.98	13.90	136.24				
7.92	13.90	148.23				
7.87	13.90	149.17				
7.82	13.90	146.61				
7.77	13.90	140.78				
3.86	13.90	143.39				
5.77	14.85	144.94				
3.83	14.85	149.53				
3.82	14.85	158.95				
5.71	14.85	162.10				
5.68	14.85	160.45				
7.54	14.85	173.18				
7.49	14.85	178.14				
9.30	14.85	183.61				
11.06	14.85	175.28				
10.96	14.85	176.31				
10.86	14.85	183.75				
8.98	14.85	188.73				
7.13	14.85	206.30				
8.86	14.85	212.08				
10.54	14.85	227.44				
6.98	14.85	206.20				
5.21	14.85	207.85				
8.63	14.85	227.28				
13.68	15.85	245.67				
10.16	15.85	242.05				
11.74	15.85	239.11				
9.97	18.10	257.59				
8.25	19.10	279.07				
9.82	21.75	294.74				
9.74	26.50	300.82				
9.66	28.50	354.95				
11.18	29.00	391.66				
11.07	31.00	391.99				
12.53	32.50	455.08				
12.40	32.50	674.37				
10.75	37.00	665.29				
15.19	38.00	553.58				
12.02	39.50	517.41				
11.90	39.50	513.80				
13.24	39.50	600.72				
0.00	39.50	644.28				
8.75	38.00	627.15				
13.00	36.00	673.63				
12.86	36.00	661.31				
12.73	36.00	624.77				
9.81	37.00	538.26				
6.96	38.00	557.39				
5.54	38.00	499.76				
6.88	38.00	499.11				
8.21	38.00	495.80				
10.86	38.00	479.70				
10.76	36.00	461.09				
14.64	36.00	409.07				
9.23	36.00	410.16				
14.36	36.00	443.75				
2.59	35.00	437.76				
5.17	36.00	413.37				
2.58	35.00	410.09				
5.13	33.85	384.14				
5.11	31.56	374.13				
1.27	28.48	330.25				
8.88	33.45	350.30				
11.33	35.93	333.71				
9.98	35.07	314.98				
6.20	34.16	338.97				
2.47	33.95	364.23				
2.46	35.63	437.31				
3.69	35.68	422.15				
-2.46	34.15	414.89				
-4.93	31.72	444.50				
6.16	31.19	481.29				
3.68	28.95	491.09				
3.67	28.82	419.70				
6.09	30.61	432.88				
2.43	30.00	438.01				
2.42	31.00	412.84				
4.83	31.66	402.91				
3.61	31.91	416.24				
8.38	31.11	411.46				
4.76	30.41	393.21				
3.56	29.84	381.68				
3.55	29.24	388.34				
7.07	29.69	370.89				
5.86	30.15	385.96				
3.50	30.76	394.26				
4.65	30.62	381.37				
3.48	30.52	377.40				
2.31	29.97	377.67				
4.61	28.75	346.72				
6.88	29.25	347.68				
5.71	29.31	340.91				
3.41	28.77	340.17				
2.27	28.10	341.14				
2.26	25.43	320.16				
3.39	25.64	302.58				
6.75	27.27	298.82				
4.48	28.24	303.94				
2.23	28.81	325.27				
3.34	27.62	316.37				
2.22	27.14	316.49				
2.22	27.33	317.22				
3.32	27.76	329.88				
5.51	28.29	322.78				
5.49	29.54	325.84				
5.46	30.81	325.24				
2.18	27.23	321.72				
5.43	22.95	345.38				
1.08	15.44	339.20				
4.32	12.62	345.70				
4.30	12.85	340.44				
2.15	15.44	342.38				
2.14	13.47	342.72				
4.27	11.58	348.77				
5.32	15.09	376.60				
6.35	14.91	418.97				
5.27	14.85	423.53				
3.15	15.21	397.55				
1.05	16.08	390.92				
5.23	18.66	408.26				
3.13	17.73	401.12				
5.19	18.31	408.91				
6.20	18.64	438.35				
3.09	19.42	460.83				
2.05	20.03	449.59				
2.05	21.36	450.52				
5.11	20.27	461.15				
7.12	19.53	460.35				
6.07	19.85	465.36				
3.02	18.92	467.57				
0.00	17.24	486.24				
5.02	17.16	476.58				
3.00	16.77	442.87				
5.99	16.22	443.35				
5.96	17.88	451.55				
2.97	17.44	451.07				
2.96	16.53	451.37				
4.92	15.50	437.63				
4.90	15.52	431.26				
9.73	14.47	413.41				
5.80	13.80	406.78				
2.89	13.98	420.46				
0.96	16.27	419.44				
6.71	17.98	404.01				
4.77	17.83	387.51				
6.65	19.45	389.80				
3.78	21.04	384.42				
4.71	20.03	371.05				
0.94	20.01	367.57				
4.69	19.64	374.98				
2.80	18.52	365.10				
5.59	19.59	361.78				
7.41	20.09	367.02				
4.61	19.82	392.36				
1.84	21.09	409.72				
8.24	22.64	409.82				
7.28	22.11	417.18				
9.04	20.42	392.70				
1.80	18.58	374.29				
1.80	18.24	369.20				
4.48	16.87	352.53				
5.35	18.64	362.50				
7.10	27.17	394.63				
6.18	33.69	389.76				
5.27	35.92	381.00				
2.63	32.30	381.79				
1.75	27.34	376.68				
10.43	24.96	383.70				
6.05	20.52	364.39				
4.30	19.86	362.76				
3.43	20.82	358.32				
0.86	21.24	356.96				
1.71	20.20	366.91				
3.41	21.42	367.79				
3.40	21.69	356.67				
5.08	21.86	348.74				
3.38	23.23	358.81				
3.37	22.47	359.59				
0.84	19.52	361.53				
4.19	18.82	354.70				
5.85	19.00	353.78				
5.82	18.92	344.18				
1.66	20.24	338.69				
0.00	20.94	337.10				
0.83	22.38	341.02				
2.48	21.76	352.25				
4.12	21.35	342.89				
3.29	21.90	345.01				
5.73	21.69	344.89				
1.63	20.34	335.05				
0.00	19.41	334.81				
6.51	19.08	329.03				
6.47	20.05	329.30				
3.22	20.35	330.10				
3.22	20.27	342.06				
0.80	19.94	366.67				
0.00	19.07	371.81				
0.80	17.87	392.40				
4.80	18.01	378.70				
2.39	17.51	354.40				
4.77	18.15	362.38				
2.38	16.70	374.17				
1.58	14.51	383.30				
3.95	15.00	387.08				
3.15	14.78	382.31				
5.49	14.66	383.88				
0.78	16.38	377.32				
0.78	17.88	381.59				
1.56	19.07	385.74				
2.34	19.65	385.40				
4.67	18.38	380.76				
3.10	17.46	391.93				
3.86	17.71	389.59				
1.54	18.10	384.44				
0.00	17.16	379.40				
6.15	17.99	378.55				
5.36	18.53	376.51				
4.57	18.55	381.66				
3.80	19.87	391.04				
0.00	19.74	385.22				
0.00	18.42	387.49				
1.52	17.30	386.24				
3.78	18.03	383.70				
3.77	18.23	383.22				
5.25	17.44	383.07				
0.75	17.99	385.68				
-0.75	19.04	387.56				
5.98	18.88	400.07				
4.46	19.07	404.48				
5.19	21.36	396.33				
1.48	23.57	393.15				
0.00	21.25	391.94				
1.48	20.45	385.27				
2.95	21.32	383.59				
2.21	21.96	387.47				
4.40	23.99	382.97				
5.11	24.90	381.07				
1.46	23.71	378.52				
-0.73	25.39	368.98				
3.64	25.17	355.20				
4.35	22.21	346.71				
4.33	20.99	351.81				
2.16	19.72	344.58				
0.00	20.83	343.70				
-0.72	19.17	340.48				
2.16	19.63	324.09				
2.15	19.93	324.05				
2.15	19.79	324.48				
5.00	21.26	323.88				
0.00	20.17	305.35				
0.00	18.32	287.62				
4.98	16.71	289.50				
4.25	16.06	297.46				
3.53	15.02	295.96				
2.11	15.44	308.29				
0.70	14.86	298.98				
0.00	13.66	292.54				
2.11	14.08	292.75				
2.81	13.36	284.11				
2.80	14.95	288.98				
4.19	14.39	295.72				
0.70	12.85	293.72				
0.00	11.28	291.68				
4.17	12.47	286.94				
2.08	12.01	287.66				
3.46	14.66	286.21				
3.45	17.34	282.62				
-0.69	17.75	276.91				
-0.69	17.89	261.31				
2.07	20.07	256.69				
1.38	21.26	256.91				
4.12	23.88	264.31				
4.10	22.64	310.78				
0.68	24.97	293.18				
-0.68	26.08	282.95				
4.09	27.18	284.07				
4.08	29.35	299.72				
6.09	29.89	286.92				
2.02	25.74	279.65				
0.67	28.78	276.74				
0.67	31.83	285.73				
2.69	29.77	281.59				
2.68	31.22	274.43				
3.35	33.88	273.53				
3.34	33.08	269.93				
1.33	34.40	266.30				
-0.67	28.46	271.45				
5.32	29.58	265.49				
5.29	29.61	262.09				
5.27	27.24	263.03				
1.97	27.41	260.33				
0.00	28.64	272.09				
2.62	27.60	270.20				
1.96	26.45	267.53				
3.26	27.47	272.09				
2.60	25.88	284.47				
3.90	22.21	282.27				
1.94	19.67	277.18				
-1.30	19.33	275.84				
3.24	19.67	281.00				
5.16	20.74	295.29				
3.85	24.42	294.05				
2.56	26.27	302.68				
-0.64	27.02	314.49				
-0.64	25.52	321.18				
1.28	26.94	313.29				
3.83	28.38	310.28				
1.91	29.67	319.14				
2.55	28.85	316.56				
0.64	26.27	320.44				
-1.91	29.42	332.04				
2.54	32.94	356.86				
4.44	35.87	358.97				
3.16	33.55	340.60				
0.00	28.25	328.20				
0.63	28.14	355.70				
0.00	30.72	356.40				
1.26	30.76	351.00				
1.89	31.59	359.80				
1.26	28.29	379.00				
4.39	30.33	378.90				
-0.63	31.09	389.90				
-0.63	32.15	407.00				
2.50	34.27	413.80				
4.99	34.74	404.90				
6.21	36.76	406.70				
2.48	36.69	403.30				
1.24	40.28	383.80				
0.62	38.02	392.40				
0.62	40.69	398.10				
1.23	44.94	400.50				
3.08	45.95	405.30				
4.91	53.13	420.50				
0.00	48.46	439.40				
-1.23	43.33	442.10				
3.67	46.84	424.00				
5.49	47.97	423.40				
6.07	54.31	433.90				
1.81	53.04	429.20				
0.00	49.83	421.90				
-0.60	56.26	430.70				
1.21	58.70	424.50				
1.21	64.97	437.90				
1.81	65.57	456.00				
5.41	62.37	469.90				
0.60	58.30	476.70				
-0.60	59.43	510.10				
4.19	65.51	549.86				
4.77	61.63	555.00				
5.94	62.90	557.10				
2.37	69.69	610.70				
1.77	70.94	675.40				
1.77	70.96	596.10				
1.77	74.41	633.70				
2.94	73.05	632.60				
2.93	63.87	598.20				
4.09	58.88	585.80				
-1.75	59.37	627.80				
-1.17	62.03	629.80				
5.21	54.57	631.20				
6.47	59.26	664.70				
4.30	60.56	654.90				
2.27	63.97	679.37				
0.90	63.46	667.31				
1.36	67.48	655.66				
1.98	74.18	665.38				
2.40	72.39	665.21				
3.44	79.93	712.65				
4.07	86.20	754.60				
0.99	94.62	806.25				
0.01	91.73	803.20				
5.43	92.95	889.60				
3.95	95.35	922.30				
4.93	105.56	968.43				
2.42	112.57	909.71				
1.40	125.39	888.66				
2.79	133.93	889.49				
4.10	133.44	939.77				
2.99	116.61	839.03				
2.91	103.90	829.93				
1.65	76.65	806.62				
-1.54	57.44	760.86				
-2.70	41.02	816.09				
3.64	41.74	858.69				
4.09	39.16	943.00				
3.90	47.98	924.27				
1.95	49.79	890.20				
-0.36	59.16	928.65				
0.64	69.68	945.67				
-0.10	64.09	934.23				
1.21	71.06	949.38				
						
						
						
						
						
						
						
						
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
